movie_name,ranking,score,score_num
肖申克的救赎,1,9.6,1477697
霸王别姬,2,9.6,1095229
这个杀手不太冷,3,9.4,1343777
阿甘正传,4,9.4,1160732
美丽人生,5,9.5,680722
泰坦尼克号,6,9.4,1102038
千与千寻,7,9.3,1176343
辛德勒的名单,8,9.5,605740
盗梦空间,9,9.3,1157898
忠犬八公的故事,10,9.3,769728
机器人总动员,11,9.3,766957
三傻大闹宝莱坞,12,9.2,1043277
放牛班的春天,13,9.3,724985
海上钢琴师,14,9.2,852775
楚门的世界,15,9.2,805131
大话西游之大圣娶亲,16,9.2,809251
星际穿越,17,9.2,830630
龙猫,18,9.2,718821
教父,19,9.3,523093
熔炉,20,9.3,474012
无间道,21,9.2,666074
疯狂动物城,22,9.2,922096
当幸福来敲门,23,9.1,846544
怦然心动,24,9.0,939686
触不可及,25,9.2,556590
蝙蝠侠：黑暗骑士,26,9.1,543857
乱世佳人,27,9.3,385545
活着,28,9.2,431916
控方证人,29,9.6,191507
少年派的奇幻漂流,30,9.0,835744
指环王3：王者无敌,31,9.2,422353
天堂电影院,32,9.2,410634
天空之城,33,9.1,495502
鬼子来了,34,9.2,351642
摔跤吧！爸爸,35,9.0,818608
十二怒汉,36,9.4,250279
飞屋环游记,37,9.0,752631
大话西游之月光宝盒,38,9.0,654349
哈尔的移动城堡,39,9.0,554544
搏击俱乐部,40,9.0,533983
罗马假日,41,9.0,562442
闻香识女人,42,9.0,482269
末代皇帝,43,9.2,339656
寻梦环游记,44,9.0,782175
辩护人,45,9.2,332727
窃听风暴,46,9.1,333437
素媛,47,9.2,310450
死亡诗社,48,9.0,406178
两杆大烟枪,49,9.1,364147
飞越疯人院,50,9.1,367433
指环王2：双塔奇兵,51,9.0,396468
教父2,52,9.2,284287
指环王1：魔戒再现,53,9.0,444963
V字仇杀队,54,8.9,620936
狮子王,55,9.0,424078
美丽心灵,56,9.0,432716
饮食男女,57,9.1,305508
海豚湾,58,9.3,242239
情书,59,8.9,534115
钢琴家,60,9.1,286181
本杰明·巴顿奇事,61,8.9,564510
看不见的客人,62,8.8,615400
黑客帝国,63,8.9,423112
哈利·波特与魔法石,64,8.9,450453
大闹天宫,65,9.3,179791
美国往事,66,9.1,243234
西西里的美丽传说,67,8.8,537878
小鞋子,68,9.2,211813
拯救大兵瑞恩,69,9.0,361116
让子弹飞,70,8.8,916251
致命魔术,71,8.8,487947
音乐之声,72,9.0,330670
七宗罪,73,8.8,582815
被嫌弃的松子的一生,74,8.9,435272
猫鼠游戏,75,8.9,387877
低俗小说,76,8.8,483357
沉默的羔羊,77,8.8,487424
天使爱美丽,78,8.7,646417
蝴蝶效应,79,8.8,536560
勇敢的心,80,8.9,382287
春光乍泄,81,8.9,358894
剪刀手爱德华,82,8.7,663461
